timestamp	label	gpu	errors	files
20260718-1859	v5-3b-cached	Tesla T4	none	20260718-1859-v5-3b-cached
20260718-1903	v6-3b-cachetest	Tesla T4	none	20260718-1903-v6-3b-cachetest
20260720-0833	b-n8-t08	Tesla T4	Traceback (most recent call last)	20260720-0833-b-n8-t08
20260720-0834	b-n8-t08	Tesla T4	Traceback (most recent call last)	20260720-0834-b-n8-t08
20260720-0842	b-n8-t08	Tesla T4	Traceback (most recent call last)	20260720-0842-b-n8-t08
20260720-0912	b-n8-t08	Tesla T4	none	20260720-0912-b-n8-t08
20260720-1535	e-hard-n8-t08	Tesla T4	none	20260720-1535-e-hard-n8-t08
20260720-1537	f-2x2-semantic	Tesla T4	Traceback (most recent call last)	20260720-1537-f-2x2-semantic
20260720-1540	f-2x2-semantic	Tesla T4	Traceback (most recent call last)	20260720-1540-f-2x2-semantic
20260720-1604	f-2x2-semantic	Tesla T4	none	20260720-1604-f-2x2-semantic
